example_id,reply_id,brand,conversation_id,customer_message,text,historical_brand_reply,conversation_context,created_at,split_group,split,intent,ambiguity,label_source,action
771,768,Uber_Support,768,[USER] you need to correct false charges from a trip in Lexington KY on Saturday. I want my $13 back #lyingdriver #theft,you need to correct false charges from a trip in lexington ky on saturday. i want my $13 back #lyingdriver #theft,[USER] Happy to follow up! Contact us via [URL] so we can connect.,,Tue Oct 31 22:12:00 +0000 2017,0,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
773,772,Uber_Support,772,[USER] my driver just drove me to the department of air travel instead of the airport.......... rufkm,my driver just drove me to the department of air travel instead of the airport.......... rufkm,"[USER] We're here to help! Send us a note here, [URL] and our team will be in touch.",,Tue Oct 31 22:01:07 +0000 2017,1,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
777,776,Uber_Support,776,[USER] got this threw my door today went to order... sorry we don't deliver to your area! What!!! Why did I get this then! [URL],got this threw my door today went to order... sorry we don't deliver to your area! what!!! why did i get this then!,[USER] For more info about UberEats availability click here; [URL],,Tue Oct 31 21:58:10 +0000 2017,3,train,promotions_and_ubereats,False,keyword_bootstrap_NOT_HUMAN,AUTO_HANDLE
780,778,Uber_Support,778,[USER] Why is there no phone number ?? I'm literally stranded and now I have to wait for an automated reply this is ridiculous,why is there no phone number ?? i'm literally stranded and now i have to wait for an automated reply this is ridiculous,[USER] We have received your DM and will follow up with you there.,customer: Literally stranded because of [USER] and because there is no support phone number I have to wait from a message from [USER] Smh 🤦🏾‍♂️ | support: [USER] We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?,Tue Oct 31 21:59:34 +0000 2017,4,train,lost_and_found,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
782,781,Uber_Support,778,Literally stranded because of [USER] and because there is no support phone number I have to wait from a message from [USER] Smh 🤦🏾‍♂️,literally stranded because of and because there is no support phone number i have to wait from a message from smh 🤦🏾‍♂️,[USER] We're sorry to hear this was your experience. Can you send us a DM with your email address so we can connect?,,Tue Oct 31 21:40:20 +0000 2017,4,train,lost_and_found,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
784,783,Uber_Support,783,"1 hour+ inside an old Altima that smells and has ripped stain seats, with an inexperienced miami driver [USER] standards down now 4 applying!","1 hour+ inside an old altima that smells and has ripped stain seats, with an inexperienced miami driver standards down now 4 applying!","[USER] We're sorry to hear this was your experience, Ray. Please contact us via [URL] and we'll be in touch.",,Tue Oct 31 22:11:47 +0000 2017,6,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
1794,1792,Uber_Support,1792,[USER] wtf is this.. every time I try to use the app it gives me this crap [URL],wtf is this.. every time i try to use the app it gives me this crap,[USER] Here to help! Send us a note via [URL] so our team can connect.,,Tue Oct 31 22:18:04 +0000 2017,7,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
1793,1795,Uber_Support,1792,[USER] I did. No response.,i did. no response.,[USER] We're here to help! Send us a DM with your email address so we can follow up.,customer: [USER] wtf is this.. every time I try to use the app it gives me this crap [URL] | support: [USER] Here to help! Send us a note via [URL] so our team can connect.,Tue Oct 31 23:46:02 +0000 2017,7,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
1797,1796,Uber_Support,1796,[USER] your app and website still don’t work,your app and website still don’t work,[USER] We have followed up via DM.,,Tue Oct 31 22:14:08 +0000 2017,9,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
1800,1798,Uber_Support,1798,[USER] hi just for a ride and it seemed to think I wanted to go to my original location. I canceled trip but want to see about being credited,hi just for a ride and it seemed to think i wanted to go to my original location. i canceled trip but want to see about being credited,[USER] Here to help! Send us a note via [URL] so our team can assist.,,Tue Oct 31 22:07:08 +0000 2017,10,train,other_general_feedback,True,keyword_bootstrap_NOT_HUMAN,ESCALATE
